Sat Nov 26 16:56:23 2022    output.dat

         1997785 function calls (1949844 primitive calls) in 4.086 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6288    0.008    0.000    0.010    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:739(_extendLine)
     4411    0.008    0.000    0.079    0.000 <__array_function__ internals>:177(any)
     1572    0.008    0.000    0.180    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:561(array2string)
     4379    0.008    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:211(<dictcomp>)
      513    0.008    0.000    0.024    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:1896(_arrayToQPath_all)
     6288    0.007    0.000    0.020    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:753(_extendLine_pretty)
     1572    0.007    0.000    0.191    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:1467(_array_repr_implementation)
     1218    0.007    0.000    0.025    0.000 /home/lucla/Programming/PyGJK/pygjk/tools.py:128(translate)
     6003    0.007    0.000    0.010    0.000 {built-in method show}
     1572    0.007    0.000    0.013    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:64(_make_options_dict)
     1624    0.007    0.000    0.017    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/lib/nanfunctions.py:369(nanmax)
     1218    0.007    0.000    0.007    0.000 {method 'as_matrix' of 'scipy.spatial.transform._rotation.Rotation' objects}
    11110    0.006    0.000    0.008    0.000 {built-in method builtins.getattr}
     1572    0.006    0.000    0.157    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:506(wrapper)
     2005    0.006    0.000    0.020    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsItem.py:126(deviceTransform)
      319    0.006    0.000    0.006    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:1191(clip_array)
     4379    0.006    0.000    0.021    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:257(_keys)
    11918    0.006    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numerictypes.py:282(issubclass_)
      458    0.006    0.000    0.163    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:483(_create_)
    28746    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
      706    0.006    0.000    0.012    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:1687(ndarray_from_qimage)
      513    0.006    0.000    0.045    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:500(paint)
       29    0.006    0.000    0.541    0.019 /home/lucla/Programming/PyGJK/pygjk/rendering.py:86(render)
     5341    0.005    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:44(_is_private)
     3248    0.005    0.000    0.014    0.000 {method 'any' of 'numpy.generic' objects}
      870    0.005    0.000    0.016    0.000 /home/lucla/Programming/PyGJK/pygjk/algo.py:143(center)
    16254    0.005    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:278(implements)
    11658    0.005    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:1177(isSequence)
     2852    0.005    0.000    0.021    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:948(dataBounds)
     4588    0.005    0.000    0.005    0.000 {built-in method setCosmetic}
     1572    0.005    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:403(_get_formatdict)
      348    0.005    0.000    0.234    0.001 /home/lucla/Programming/PyGJK/pygjk/tools.py:117(<listcomp>)
     6288    0.005    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:1231(__call__)
      436    0.005    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/linalg/linalg.py:2357(norm)
     1822    0.005    0.000    0.024    0.000 /home/lucla/Programming/PyGJK/pygjk/algo.py:147(furthest_point)
    17103    0.005    0.000    0.005    0.000 {method 'pop' of 'dict' objects}
       54    0.005    0.000    0.013    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:1355(childrenBounds)
