Sat Nov 26 16:56:23 2022    output.dat

         1997785 function calls (1949844 primitive calls) in 4.086 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1218    0.002    0.000    0.002    0.000 {method '__copy__' of 'numpy.ndarray' objects}
     1218    0.004    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/copy.py:66(copy)
     1083    0.013    0.000    0.063    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:129(dataBounds)
     1041    0.000    0.000    0.000    0.000 {built-in method _operator.index}
      936    0.001    0.000    0.001    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numeric.py:1397(<listcomp>)
      936    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numeric.py:1347(normalize_axis_tuple)
      911    0.004    0.000    0.029    0.000 /home/lucla/Programming/PyGJK/pygjk/algo.py:152(support)
      870    0.010    0.000    0.010    0.000 {built-in method builtins.sum}
      870    0.005    0.000    0.016    0.000 /home/lucla/Programming/PyGJK/pygjk/algo.py:143(center)
      832    0.002    0.000    0.160    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/debug.py:108(w)
      804    0.001    0.000    0.001    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:1043(dataBounds)
      730    0.004    0.000    0.012    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:331(mkBrush)
      717    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      707    0.003    0.000    0.025    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsObject.py:21(itemChange)
      707    0.003    0.000    0.003    0.000 {function ChildGroup.itemChange at 0x7f5c2f2d4ee0}
      706    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      706    0.003    0.000    0.036    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:76(drawSymbol)
      706    0.017    0.000    0.064    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:89(renderSymbol)
      706    0.000    0.000    0.000    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:333(<lambda>)
      706    0.006    0.000    0.012    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:1687(ndarray_from_qimage)
      706    0.001    0.000    0.016    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:1725(imageToArray)
      706    0.002    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numeric.py:1873(isscalar)
      706    0.000    0.000    0.000    0.000 {built-in method math.ceil}
